H2	CH4	C2H6	C2H4	C2H2	CO	CO2	Fault_Class
479.1530172	46.23806745	28.42804647	147.0322621	904.51215	125.359773	784.9938773	D1
552.3346699	93.47828609	74.98942582	171.2427212	766.2570568	161.7348804	749.7503551	D1
231.9081396	432.9813639	138.9410663	1241.06141	0.795577699	1009.305849	3282.935007	T3
2038.061388	107.4476642	59.70490143	37.87145157	0.375226408	134.0034872	841.0797842	PD
555.5315846	224.3823223	179.2707457	369.7553959	1476.392866	341.7968684	1242.556509	D2
231.9821843	451.887709	139.3723374	1225.559976	0.751404694	985.9496036	3415.002397	T3
62.36548594	60.18746099	55.82915137	38.3239774	0.40564897	140.3508273	820.8681999	T1
244.1971843	321.372722	271.9121911	206.3064145	0.260674814	405.5154782	1412.779982	T2
237.0630244	325.6284227	262.2610935	207.4247337	0.378769447	417.0675956	1438.981655	T2
217.3501211	320.6339863	266.2434006	209.3735029	0.464667366	382.9291293	1511.008247	T2
474.2177695	286.9339236	224.8060157	321.0059169	978.4771712	349.6201211	1321.644923	D2
416.3345724	31.45161663	18.9033709	74.62253164	458.2812093	105.5134187	615.8473009	D1
226.2889101	322.886565	270.676878	207.5140989	0.4601047	392.0554195	1422.136488	T2
252.0613722	299.0029961	263.4784386	197.7425729	0.209738174	398.8040296	1360.819766	T2
228.8113186	446.0362941	140.541433	1163.194826	0.697549763	1008.752066	3568.592541	T3
644.0219348	227.1242956	192.9205885	431.9292822	1835.132829	311.1266336	1175.672644	D2
971.95651	89.17312903	65.07887225	171.8677184	867.3385191	151.3401521	821.0049705	D1
235.8534122	316.296769	259.9803595	201.7610854	0.254850579	360.8896319	1382.152068	T2
1851.666706	71.72032076	31.59499346	19.30885182	0.371557395	119.1146781	752.3931566	PD
60.40595825	69.13327884	56.63973068	34.87882686	0.476880786	141.4158392	861.531562	T1
448.711973	80.01787285	60.83355244	137.6959023	589.5409253	147.7427511	833.7778499	D1
1613.165115	48.54744351	14.63155403	7.871943073	0.484179034	110.8103391	670.4403245	PD
454.3191092	59.39014705	39.01839607	164.8001512	933.101799	141.0562205	767.4918257	D1
237.8502364	301.601575	256.7316077	201.9786392	0.447487189	407.0482689	1470.064978	T2
225.0212043	437.4342128	137.4406405	1218.405852	0.702319712	980.4323402	3457.679197	T3
241.5322402	297.8938018	270.6933116	207.6547627	0.218016382	390.1587919	1509.385247	T2
234.4294714	497.9498188	133.7886739	1227.095536	0.830079546	992.6710133	3438.527814	T3
1240.544498	44.74293653	18.01259883	7.078703935	0.33048364	120.4912416	579.9878744	PD
77.84887272	83.44487549	65.36295598	49.48202931	0.323639226	155.3927648	920.6179876	T1
225.8757057	307.1409398	254.2291092	213.9484631	0.248164578	399.4674078	1389.867503	T2
1338.24308	65.03584121	35.10604851	17.72557841	0.446022695	135.5834916	780.291262	PD
73.41744295	86.48306716	73.22404132	45.00753825	0.467709416	160.9077141	900.2054538	T1
71.77043423	83.21532776	68.67140843	47.94919581	0.262121545	176.8390116	790.8644249	T1
619.5194633	154.7566157	125.5146495	404.6640189	1906.416482	250.6333577	1053.044375	D2
239.3292969	460.654357	144.6841392	1240.411438	0.729104691	998.9709178	3515.960225	T3
521.0396886	43.35248849	24.26354185	12.46104782	0.472977155	112.3617273	712.5412655	PD
44.93470945	51.84464529	37.45095282	20.9879195	0.445458682	115.7532118	635.9826949	Normal
74.52052541	65.26085576	55.62622194	31.05670854	0.310548022	151.2859411	738.6463467	Normal
225.0841286	455.1928059	141.9045524	1259.406222	0.919015068	957.6920265	3324.4765	T3
65.11419051	55.98618936	42.53082886	26.67812318	0.461513373	147.5208202	683.55322	Normal
2108.858939	92.96044683	47.1001432	30.31184927	0.374267615	115.1146825	770.1462604	PD
709.2974225	71.07734199	50.13254761	150.0227638	828.6346929	129.7156362	749.5864241	D1
223.0430511	457.1322396	142.7293039	1173.216129	0.684647002	993.2756016	3472.877843	T3
236.7165415	309.3910003	261.2281952	201.4495224	0.395387531	381.9238278	1387.504342	T2
2024.287482	75.58154751	26.18462797	13.96049276	0.396917872	111.4825179	742.8829322	PD
39.74916012	24.67920691	18.14845433	8.152460873	0.420854145	110.8016678	718.4681323	Normal
225.2183666	470.7261925	136.8798774	1165.630121	0.804778643	1037.384735	3317.706289	T3
1248.640141	81.5928006	49.48847871	35.4618233	0.342832031	141.7067673	851.6528686	PD
238.8957303	463.5775571	142.0048701	1232.514204	0.748323536	969.7333694	3408.49707	T3
71.36307193	67.83988651	51.57564266	34.01679566	0.336292379	139.3153908	691.6559579	T1
