model,fault,f1,precision,recall
random_forest,PD,1.0,1.0,1.0
random_forest,D1,1.0,1.0,1.0
random_forest,D2,1.0,1.0,1.0
random_forest,T1,0.8929765886287625,0.853035143769968,0.9368421052631579
random_forest,T2,1.0,1.0,1.0
random_forest,T3,1.0,1.0,1.0
random_forest,NORMAL,0.8823529411764706,0.9302325581395349,0.8391608391608392
decision_tree,PD,1.0,1.0,1.0
decision_tree,D1,1.0,1.0,1.0
decision_tree,D2,1.0,1.0,1.0
decision_tree,T1,0.8892561983471075,0.840625,0.9438596491228071
decision_tree,T2,1.0,1.0,1.0
decision_tree,T3,1.0,1.0,1.0
decision_tree,NORMAL,0.8752327746741154,0.9362549800796812,0.8216783216783217
xgboost,PD,1.0,1.0,1.0
xgboost,D1,1.0,1.0,1.0
xgboost,D2,1.0,1.0,1.0
xgboost,T1,0.8892561983471075,0.840625,0.9438596491228071
xgboost,T2,1.0,1.0,1.0
xgboost,T3,1.0,1.0,1.0
xgboost,NORMAL,0.8752327746741154,0.9362549800796812,0.8216783216783217
